,id,text,Cleaned_tweet
0,0.27502595210174596-2,"मंज़िलों से गुमराह भी कर देते हैं कुछ लोग
हर किसी से रास्ता पूछना अच्छा नहीं होता ।", 
1,0.27502595210174596-4,"You were born with the ability to change someone's life, don't ever waste it. #LifeisStrange #thinking #aboutlastnight #blank",you were born with the ability to change someone life don t ever waste it 
2,0.27502595210174596-5,You can succeed best and quickest by helping others to succeed. #Copied #humanfactors,you can succeed best and quickest by helping others to succeed 
3,0.27502595210174596-6,@KushalT2803 baba we all love you ...ignore haters :),baba we al love you ignore haters 
4,0.27502595210174596-7,"1 Followed, 1 Unfollowed me (monitored by http://unfollowspy.com )",followed unfollowed me monitored by 
5,0.27502595210174596-8,@narendramodi,
6,0.27502595210174596-9,"17 Solldiers Got Martyred By Pak Terrorists In #UriAttack. PM Modi, It's Time To Show Your 56 Inch And Give Pak A Fitting Reply.#BurnThePigs",solldiers got martyred by pak terrorists in pm modi it time to show your inch and give pak a fitting reply 
7,0.27502595210174596-10,one person followed me and 2 people unfollowed me // automatically checked by,one person followed me and people unfollowed me automatically checked by
8,0.27502595210174596-11,Welcome to my new 1 followers and goodbye to 1 unfollowers (FREE stats by http://www.unfollowspy.com ),welcome to my new followers and goodbye to unfollowers fre stats by 
9,0.27502595210174596-12,Just the one new follower today found welcome tracked by http://unfollowspy.com ,just the one new follower today found welcome tracked by
10,0.27502595210174596-13,Gained 2 followers and lost 1 (stats by http://unfollowspy.com ),gained followers and lost stats by 
11,0.27502595210174596-14,Gained 1 followers and lost 1 (stats by http://unfollowspy.com ),gained followers and lost stats by 
12,0.27502595210174596-15,Latest Stats = 2 Followers and 1 Unfollowers (tracked by http://unfollowspy.com ),latest stats followers and unfollowers tracked by 
13,0.27502595210174596-16,Startup is not a way to earn money.it's way to change the system to make people life mor easier..money will follow u #StartupIndia #startup,startup is not a way to earn money it way to change the system to make people life mor easier money wil follow u
14,0.27502595210174596-17,5 people unfollowed me today tracked by http://unfollowspy.com ,people unfollowed me today tracked by
15,0.27502595210174596-18,10 people followed me and one person unfollowed me // automatically checked by,people followed me and one person unfollowed me automatically checked by
16,0.27502595210174596-19,"He go to bed with a lot of tensions bt wake up with a fresh energy and a new strategy. 
He is called an entrepreneur!
#startup #startuplife",he go to bed with a lot of tensions bt wake up with a fresh energy and a new strategy he is called an entrepreneur 
17,0.27502595210174596-20,Welcome to my new 2 followers and goodbye to 1 unfollowers (FREE stats by http://www.unfollowspy.com ),welcome to my new followers and goodbye to unfollowers fre stats by 
18,0.27502595210174596-21,It takes 20 years to make over night success . #PokemonGO #startup #startuplife,it takes years to make over night succes 
19,0.27502595210174596-22,"start-up is not a job, it's a life style. #inguin #startup #startuplife #healthcare #onlinepharmacy #buymedicineonline",start up is not a job it a life style 
20,0.27502595210174596-23,"With d help of integrated healthcare Eco-system,we can make patients & doctors life easier @Theinguin .#integratedcare #healthcare #health",with d help of integrated healthcare eco system we can make patients doctors life easier 
21,0.27502595210174596-24,"A/C to my start-up's life experience, u can't balance personal and professional life in start-up. #inguinexperience #startup #startuplife",a c to my start up life experience u can t balance personal and professional life in start up 
22,0.27502595210174596-25,Biggest challenge in healthcare is transparency.@Theinguin is going to bring transparency in healthcare. #inguin #healthcare #startup,biggest challenge in healthcare is transparency is going to bring transparency in healthcare 
23,0.27502595210174596-26,2 people unfollowed me // automatically checked by http://fllwrs.com ,people unfollowed me automatically checked by
24,0.27502595210174596-27,Just the one new follower today found welcome tracked by http://unfollowspy.com ,just the one new follower today found welcome tracked by
25,0.27502595210174596-28,I added a video to a @YouTube playlist http://youtu.be/pfVubx91hXM?a  Inguin introduction video,i added a video to a playlist inguin introduction video
26,0.27502595210174596-29,"I added a video to a @YouTube playlist http://youtu.be/0jfzN5J19NM?a  ""Life Means Struggle"" Nawazuddin Siddiqui Hindi Inspirational Video |",i added a video to a playlist life means struggle nawazuddin siddiqui hindi inspirational video 
27,0.27502595210174596-30,"If you want to compete existing product, make your product better , cheaper and faster ...#startup #startuplife",if you want to compete existing product make your product better cheaper and faster 
28,0.27502595210174596-31,"There is nothing called awesome product, if your product is not solving any kind of problem to make  people's life easier. #startup #Inguin",there is nothing called awesome product if your product is not solving any kind of problem to make people life easier 
29,0.27502595210174596-32,"@DavidVandegrift If your product is more social , people adopt it easily  because it doesn't force to live their comfort zone :)",if your product is more social people adopt it easily because it doesn t force to live their comfort zone 
30,0.27502595210174596-33,"BELIEVE IN YOURSELF, BE YOURSELF AND HAVE FUN!!",believe in yourself be yourself and have fun 
31,0.27502595210174596-34,Check out my developer profile on @HackerEarth,check out my developer profile on
32,0.27502595210174596-35,"Make your product more social , investors will follow you .... #startup #startupthought #startuplife",make your product more social investors wil follow you 
33,0.27502595210174596-36,There is difference between making money and raising money ...focus on making money instead of raising money #startup #startuplife,there is difference between making money and raising money focus on making money instead of raising money
