,id,text,Cleaned_tweet
0,0.5407492246586432-2,It was an awesome live stand-up comedy program of @EastIndiaComedy with @sapanv and dinner with #UberAfterParty. Thx,it was an awesome live stand up comedy program of with and dinner with thx
1,0.5407492246586432-4,@sureshpprabhu @RailMinIndia @WesternRly Ahmedabad Railway station platform no. 2/3,ahmedabad railway station platform no 
2,0.5407492246586432-5,"२ अक्टूबर की छुट्टी कैन्सल ।

गांधीजी मिल गए दुबई में 
मोबाइल की दुकान चलाते है । #GandhiJayanti", 
3,0.5407492246586432-6,"Mass wastage of water at ADI stns all platforms, is this supporting #SwatchhBharat mission or #GreenIndia Mr. @sureshpprabhu @RailMinIndia",mas wastage of water at adi stns al platforms is this supporting mission or mr 
4,0.5407492246586432-7,"@JimElRezzi Jim, why your whatsapp shows warning here? In earlier version there was no such warnings. Now is v4.84",jim why your whatsap shows warning here in earlier version there was no such warnings now is v 
5,0.5407492246586432-8,@Gmwrly @drmadiwr platform no. 2/3. Mass wastage of water. No water for poors. ADI Railway is wasting it. https://youtu.be/SwxGl__RDws ,platform no mas wastage of water no water for poors adi railway is wasting it 
6,0.5407492246586432-9,Mr. @drmadiwr I'm sitting right now at platform no. 2. Train no. 17204 was announced 50min late. Later more delayed. #RIP TO #BulletTrain,mr i m sitting right now at platform no train no was announced min late later more delayed to
7,0.5407492246586432-10,Pls have a look at this Mr. @sureshpprabhu @RailMinIndia @WesternRly https://youtu.be/SwxGl__RDws  #SwatchhBharat,pls have a look at this mr 
8,0.5407492246586432-11,@JimElRezzi i tried to use this in samsung J7—6 model. But give up as it's running out of my mind. ,i tried to use this in samsung j model but give up as it running out of my mind 
9,0.5407492246586432-12,@JimElRezzi thanks for this too,thanks for this to
10,0.5407492246586432-13,A Letter To My Husband - Mandeep Kaur Sidhu,a letter to my husband mandeep kaur sidhu
11,0.5407492246586432-14,"@XiaomiIndia hello, after updating my redmi note 3G it shows different mi user id (not mine) & shows device locked.",hello after updating my redmi note g it shows different mi user id not mine shows device locked 
12,0.5407492246586432-15,@MTS_India u hv capped network tower  speed at 2MBPS & telling lies to client of providing speed up to 9.2mbps. Since 6month prob unsolved,u hv capped network tower speed at mbps telling lies to client of providing speed up to mbps since month prob unsolved
13,0.5407492246586432-16,@MTS_India #9137240397. I have a proof that Ur company is cheating with customers. #TRAI pls take a note. Complaint #JUN/3691. STOP FOOLING,i have a proof that ur company is cheating with customers pls take a note complaint stop fooling
14,0.5407492246586432-17,Pair 2 Win Mi phones and cash coupons! http://www.mi.com/in/events/2ndanniversary/playgame/ …,pair win mi phones and cash coupons 
15,0.5407492246586432-18,Don’t miss #UberIceCream on Friday—set your ice cream alarm clock at https://pages.et.uber.com/icecream/?lang_id=1 …,don t mis on friday set your ice cream alarm clock at 
16,0.5407492246586432-19,@SophiaAbella Namaste but you are still not following me. ,namaste but you are stil not following me 
