,id,text,Cleaned_tweet
0,0.5005587103772278-2,"@Gurmeetramrahim #NonStopCrazeForMSG2  gr8 papa g n its only due to ur guidance, salute to u papa g.....",gr papa g n its only due to ur guidance salute to u papa g 
1,0.5005587103772278-4,@Gurmeetramrahim #MSG2WowMSG2 thanks papa g n merry Christmas  papa g,thanks papa g n merry christmas papa g
2,0.5005587103772278-5,@Gurmeetramrahim #MSG2WowMSG2  waoooooo outstanding......,wao outstanding 
3,0.5005587103772278-6,@Gurmeetramrahim #MSG2In447 thanks for blessings papa g,thanks for blessings papa g
4,0.5005587103772278-7,@Gurmeetramrahim #Happy25Jan happy birthday papa g.....,happy birthday papa g 
5,0.5005587103772278-8,@Gurmeetramrahim #LetsBringPeace  thanks papa g n same to u g,thanks papa g n same to u g
6,0.5005587103772278-9,@Gurmeetramrahim #WowMSG2MSG2  waoooooooooooo wt a craze.......,wao wt a craze 
7,0.5005587103772278-10,@Gurmeetramrahim #100DaysOfMSG2  waooooooooo amazing gr8888 craze. Thanks for blessings papa g,wao amazing gr craze thanks for blessings papa g
8,0.5005587103772278-11,@Gurmeetramrahim #MSG2WowMSG2 waooooooo fabulous craze .......n thanks for blessings papa g,wao fabulous craze n thanks for blessings papa g
9,0.5005587103772278-12,@Gurmeetramrahim #MSG2in447  waoooooooooooo amazing,wao amazing
10,0.5005587103772278-13,"@Gurmeetramrahim #11thWeekOnTheTopMSG2 dhan dhan satguru tera hi asra pita g aj mera b,day h plz bless me n sewa simrn prmrth ka BL bkshna g",dhan dhan satguru tera hi asra pita g aj mera b day h plz bles me n sewa simrn prmrth ka bl bkshna g
11,0.5005587103772278-14,@Gurmeetramrahim #11thWeekOnTheTopMSG2 waoooooo greatttttt,wao great
12,0.5005587103772278-15,@Gurmeetramrahim #MSG2EntersIn434 waoooooo gr8888 n its only because of ur guidance n thanks for blessings guru g,wao gr n its only because of ur guidance n thanks for blessings guru g
13,0.5005587103772278-16,@Gurmeetramrahim #MSG2in9thweek waooooooooooooo gr8888888 n thanks for blessings guru g,wao gr n thanks for blessings guru g
14,0.5005587103772278-17,@Gurmeetramrahim #DiwaliBumperMSG2In8thWeek  amazing,amazing
15,0.5005587103772278-18,@Gurmeetramrahim #DiwaliBumperMSG2In8thWeek waoooooo u r looking awesome,wao u r looking awesome
16,0.5005587103772278-19,@Gurmeetramrahim #DiwaliBumperMSG2In8thWeek  gr88888 n thanks for blessings g,gr n thanks for blessings g
17,0.5005587103772278-20,@Gurmeetramrahim #MSG2onTheTopInHaryana thanks for blessings papa g,thanks for blessings papa g
18,0.5005587103772278-21,@Gurmeetramrahim @aajtak #MSG2RidesHigh waooooooo its amazing.....,wao its amazing 
19,0.5005587103772278-22,@Gurmeetramrahim #7thWeekMSG2  waoooooo its greattttt,wao its great
20,0.5005587103772278-23,@Gurmeetramrahim #MSG2Crossed375 #WishBdayByWelfare  thanks papa g n congrats to u papa g,thanks papa g n congrats to u papa g
21,0.5005587103772278-24,@Gurmeetramrahim #EverywhereMSG2MSG2 g papa g n thanks for ur guidance,g papa g n thanks for ur guidance
22,0.5005587103772278-25,@Gurmeetramrahim #EverywhereMSG2MSG2 n u r looking awesome pa,n u r looking awesome pa
23,0.5005587103772278-26,@Gurmeetramrahim #HaryanaRocksWithMSG2 waooooooooo its amazing... ..,wao its amazing 
24,0.5005587103772278-27,@Gurmeetramrahim #HaryanaRocksWithMSG2 congratulations to u papa g,congratulations to u papa g
25,0.5005587103772278-28,@Gurmeetramrahim #SuperbMSG2  waoooooooooo amazing,wao amazing
26,0.5005587103772278-29,@Gurmeetramrahim #SuperbMSG2  very gud mrng papa g .....n thanks for blessings.....,very gud mrng papa g n thanks for blessings 
27,0.5005587103772278-30,@Gurmeetramrahim #MSG2GrandSuccess waooooooooooo amazing,wao amazing
28,0.5005587103772278-31,@Gurmeetramrahim #BlockBusterMSG2 waoooooo,wao
29,0.5005587103772278-32,@Gurmeetramrahim #BlockBusterMSG2  waoooooooo amazing,wao amazing
30,0.5005587103772278-33,@Gurmeetramrahim #BlockBusterMSG2 greattttttttt,great
31,0.5005587103772278-34,@Gurmeetramrahim #BlockBusterMSG2  thanks for or guidance papa g,thanks for or guidance papa g
32,0.5005587103772278-35,@Gurmeetramrahim #Target350HitByMSG2 gud night pa n thanks for blessings papa g,gud night pa n thanks for blessings papa g
33,0.5005587103772278-36,@Gurmeetramrahim @MSGTheFilm #MSG2Crossed325  waooooooooo greatttttt,wao great
34,0.5005587103772278-37,@Gurmeetramrahim #LoveForMSG2  waoooooooo amazing,wao amazing
35,0.5005587103772278-38,@Gurmeetramrahim #MSG2RocksDelhi  outstanding craze.... n thanks for blessings papa g,outstanding craze n thanks for blessings papa g
36,0.5005587103772278-39,@Gurmeetramrahim #MSG2RocksDelhi waoooooo gr88888,wao gr
37,0.5005587103772278-40,@Gurmeetramrahim #MSG2RocksDelhi  amazing.....,amazing 
38,0.5005587103772278-41,@Gurmeetramrahim #GodBlessMSG2Fans outstanding craze.....,outstanding craze 
39,0.5005587103772278-42,@Gurmeetramrahim #MSG2Crossed300  awesome celebration,awesome celebration
40,0.5005587103772278-43,@Gurmeetramrahim #MSG2Crossed300  thanks a lot papa g,thanks a lot papa g
41,0.5005587103772278-44,@Gurmeetramrahim #MSG2Crossed300  waoooooo congrats papa g n very gud morning thanks g,wao congrats papa g n very gud morning thanks g
42,0.5005587103772278-45,@Gurmeetramrahim #4thWeekMSG2AtTheTop  gr8 celebration,gr celebration
43,0.5005587103772278-46,@Gurmeetramrahim #4thWeekMSG2AtTheTop  awesome......,awesome 
44,0.5005587103772278-47,@Gurmeetramrahim #4thWeekMSG2AtTheTop  superbbbbbbb,superb
45,0.5005587103772278-48,@Gurmeetramrahim #4thWeekMSG2AtTheTop  waooooooooo amazing,wao amazing
46,0.5005587103772278-49,@Gurmeetramrahim #4thWeekMSG2AtTheTop waoooooooooo gr8  n. its only due to ur guidance papa g,wao gr n its only due to ur guidance papa g
47,0.5005587103772278-50,@Gurmeetramrahim #4thWeekMSG2AtTheTop  awesome......,awesome 
48,0.5005587103772278-51,@Gurmeetramrahim #4thWeekMSG2AtTheTop  amazing craze,amazing craze
49,0.5005587103772278-52,@Gurmeetramrahim #4thWeekMSG2AtTheTop  wt a celebration,wt a celebration
50,0.5005587103772278-53,@Gurmeetramrahim #4thWeekMSG2AtTheTop  gr888888 n thanks for blessings papa g,gr n thanks for blessings papa g
51,0.5005587103772278-54,@Gurmeetramrahim #MSG2FourthWeek  amazing ......,amazing 
52,0.5005587103772278-55,@Gurmeetramrahim #MSG2Crossed270  waoooooooooo piti g wt a craze....... amazing,wao piti g wt a craze amazing
53,0.5005587103772278-56,@Gurmeetramrahim #MSG2Crossed270  superb craze,superb craze
54,0.5005587103772278-57,@Gurmeetramrahim @MSGTheFilm #MSGCrossed270 yeeeeeeeeee gr8 papa g congratulations g,ye gr papa g congratulations g
55,0.5005587103772278-58,@Gurmeetramrahim #MSG2AtTheTop  waooooooooooo what a craze...amazing,wao what a craze amazing
56,0.5005587103772278-59,@Gurmeetramrahim #MSG2AtTheTop  waooooooo amazing n thanks fr blessings papa g gud night,wao amazing n thanks fr blessings papa g gud night
57,0.5005587103772278-60,@Gurmeetramrahim #MSG2MSG2 thanks papa g.....,thanks papa g 
58,0.5005587103772278-61,@Gurmeetramrahim #OnNewHeightsMSG2  waooooooooooooooooooooooo,wao
59,0.5005587103772278-62,@Gurmeetramrahim #CelebrationMSG2  waooooooow wht a craze,waoow wht a craze
60,0.5005587103772278-63,@Gurmeetramrahim #MSG2In100CrClub thanks for blessings papa g.....,thanks for blessings papa g 
