,id,text,Cleaned_tweet
0,0.5477838252581613-2,पानी का दुरूपयोग वो भी आईपीएल जैसे खेल के जिए जिसमें भ्रष्‍टाचार भी उजागर हो चुका है । वाह भाई वाह #FarmersvsIPL,
1,0.5477838252581613-4,U mi8 nt be d supporter of Modi G bt wn it's comes to India all f us includin politicl parties say v r Indian 1st #JaiMataDi #HappyNavratri,u mi nt be d supporter of modi g bt wn it comes to india al f us includin politicl parties say v r indian st
2,0.5477838252581613-5,Sorry #Shaktiman #shaktimanhorse we brutal animal could not save you. Shame on humanity @PetaIndia @SrBachchan,sorry we brutal animal could not save you shame on humanity
3,0.5477838252581613-6,I guess neither the court nor the govt would do such things as has been done against Hindu Temples Haji Ali #HajiAli,i gues neither the court nor the govt would do such things as has been done against hindu temples haji ali
4,0.5477838252581613-7,"Jai Hind, Jai Hind ki Sena Indian army did it s braveherts nt lyk Pakis who use inocent s trrorst #SurgicalStrike @narendramodi @SrBachchan",jai hind jai hind ki sena indian army did it s braveherts nt lyk pakis who use inocent s trrorst
5,0.5477838252581613-8,"Jai Hind, Jai Hind ki Sena. Indian army did it as bravehearts not like Pakis who use innocent as terrorist. #ceasefireviolations",jai hind jai hind ki sena indian army did it as bravehearts not like pakis who use innocent as terrorist 
6,0.5477838252581613-9,"Whether any Govt. wud dare 2 announc cores rs.4 d widws,son n dotrs of Jawans ""HERO"" s de do 4 cricktrs or Olympins? Ans. #UriAttacks",whether any govt wud dare announc cores rs d widws son n dotrs of jawans hero s de do cricktrs or olympins ans 
7,0.5477838252581613-10,P.V. Sindhu & Sakshi Malik u girls gav solid slap 2 ppl who do femal foticide  #Rio2016 #RioOlympics2016 @sachin_rt @SakshiMalik @Pvsindhu1,p v sindhu sakshi malik u girls gav solid slap ppl who do femal foticide
8,0.5477838252581613-11,This sickularity will make hindu minority soon :D Haji Ali,this sickularity wil make hindu minority soon d haji ali
9,0.5477838252581613-12,@CloudExpertsI Bro. women hav got equal right then on what basis dominating men debarring them from entering in temple/mosque/Dargahs,bro women hav got equal right then on what basis dominating men debarring them from entering in temple mosque dargahs
10,0.5477838252581613-13,Where the hell it is written that women (Hindu/Muslim/Christian etc.) sud nt b allowed in Temple/Mosque/Dargah/Masjid etc. #HajiAli Haji Ali,where the hel it is written that women hindu muslim christian etc sud nt b allowed in temple mosque dargah masjid etc haji ali
11,0.5477838252581613-14,Great to see that legends like @SrBachchan @sachin_rt you dont bother in following fans...,great to se that legends like you dont bother in following fans 
12,0.5477838252581613-15,Watch amazing video and RT https://www.youtube.com/watch?v=CY7QG_8dgzs … @SrBachchan @sachin_rt @imVkohli @ImRaina @SirJadeja @kangna_ranaut,watch amazing video and rt
