,id,text,Cleaned_tweet
0,0.7924942083018995-2,"""Remembering people's president""
President With "" NO HATERS ""

it's APJ Abdul Kalam's first
death anniversary....

The real hero", remembering people president president with no haters it apj abdul kalam first death anniversary the real hero
1,0.7924942083018995-4,@nishantgola landlord shab toilet  toh saaf nhi karwa rahe na tujh se,landlord shab toilet toh saaf nhi karwa rahe na tujh se
2,0.7924942083018995-5,"Job 2 ही cases में अच्छी  लगती  हैं  जब  उसके  आगे, ""Blow"" या  ""Hand"" लगा हो ॥॥",job cases blow hand 
3,0.7924942083018995-6,"एक लड़की मिली थी
वो भी डंप कर गयी
डंप होने को बैठा हूँ
कोई मिले तो सही ।।", 
4,0.7924942083018995-7,मेने Engineering ली और Engineering ने मेरी  ।।।  #बेरोजगार  #YoungJustice, engineering engineering 
5,0.7924942083018995-8,"Uncle: ""Happy birthday to beta""

ME: thnx

Uncle : kitne ka ho gaya? 

ME: 23 ka 

Uncle: Bas pata hai teri umar mein 35 ka tha mein..",uncle happy birthday to beta me thnx uncle kitne ka ho gaya me ka uncle bas pata hai teri umar mein ka tha mein 
6,0.7924942083018995-9,The greatest discovery of my generation is that people can alter their lives by altering their attitudes,the greatest discovery of my generation is that people can alter their lives by altering their attitudes
7,0.7924942083018995-10,As a proud son of Ex-army man (my dad) Just wanna say Thank You  Soldiers...  #Sandesh2Soldiers,as a proud son of ex army man my dad just wanna say thank you soldiers 
8,0.7924942083018995-11,Twitter celeb are like we are #twitter celeb so we hate #Facebook.. I was like #WTF ?,twitter celeb are like we are celeb so we hate i was like 
9,0.7924942083018995-12,I helped feed a child when I bought from WYO.in you can do it too and here is discount coupon for  it http://wearyouropinionwyo.refr.cc/H5C3KBV  via @wyonow,i helped feed a child when i bought from wyo in you can do it to and here is discount coupon for it via
10,0.7924942083018995-13,"Do what is right,not what is easy.",do what is right not what is easy 
11,0.7924942083018995-14,"#engineers today
#entrepreneur tomorrow
#dream",today tomorrow
12,0.7924942083018995-15,"I love to work for my dreams
rather than someone elses....",i love to work for my dreams rather than someone elses 
13,0.7924942083018995-16,"Some people are alive only,
because it’s illegal to kill
them.",some people are alive only because it s illegal to kil them 
14,0.7924942083018995-17,"Isn’t it scary that doctors
call what they do “practice”?",isn t it scary that doctors cal what they do practice 
15,0.7924942083018995-18,"The last thing I want to do
is insult you. But it IS on the
list.",the last thing i want to do is insult you but it is on the list 
16,0.7924942083018995-19,"I think sex is better than
logic,but I can’t prove it....",i think sex is better than logic but i can t prove it 
17,0.7924942083018995-20,#PVSindhu u made us proud...,u made us proud 
18,0.7924942083018995-21,"The last drop of urine doesn't obey
the law of gravity unless u shake it
well !!
:- Newton के चाचा के दोस्त का लड़का",the last drop of urine doesn t obey the law of gravity unles u shake it wel newton 
19,0.7924942083018995-22,"“Did you ever notice,whenever you need your keys the most,that’s when they’re the hardest to find?”", did you ever notice whenever you need your keys the most that s when they re the hardest to find 
20,0.7924942083018995-23,"Failure is not falling down,it is not getting up again...!!!",failure is not falling down it is not getting up again 
21,0.7924942083018995-24,"Why is a bra singular and
panties plural?",why is a bra singular and panties plural 
22,0.7924942083018995-25,"Why do women always ask
questions that have no right
answers?",why do women always ask questions that have no right answers 
23,0.7924942083018995-26,"Why do you need a driver’s
license to buy liquor when you
can’t drink and drive?",why do you need a driver s license to buy liquor when you can t drink and drive 
