,id,text,Cleaned_tweet
0,0.5655083966242913-2,2nd day and still counting.. @SAPTechEd @saphcp #SAPTechEd,nd day and stil counting 
1,0.5655083966242913-4,One platform many languages. @saphcp @SAPTechEd #SAPTechEd #translationservices @SAP,one platform many languages 
2,0.5655083966242913-5,Show time. #SAPTechEd #Bangalore @SAP @SAPTechEd,show time 
3,0.5655083966242913-6,Stoked @SAPTechEd  #SAPTechEd @SAP,stoked
4,0.5655083966242913-7,@iamManju_SAP takes over the show floor @SAPTechEd #SAPTechEd @SAP @saphcp,takes over the show floor
5,0.5655083966242913-8,#ArnabGoswamiResigns Is that true ? Prime Time now #shocktime,is that true prime time now
6,0.5655083966242913-9,Network bar is showing cross sign! @google #Nougat @Android #NotGood,network bar is showing cros sign 
7,0.5655083966242913-10,@amazon + @VMware > @Microsoft + @IBM + @google  ? #tech #cloud Let's see how this works.., let se how this works 
8,0.5655083966242913-11,Beat that #appspace #barcelona @SAPTechEd #SAPTechEd @saphcp @SAP,beat that
9,0.5655083966242913-12,Going to be tough @SAPTechEd  for #BARCELONA #SAPTechEd @saphcp #appspace,going to be tough for
10,0.5655083966242913-13,#anujmehta @iamManju_SAP in action #superheroes @SAPTechEd #SAPTechEd @SAP @saphcp,in action
11,0.5655083966242913-14,...and counting. @SAPTechEd #SAPTechEd @saphcp @SAP, and counting 
12,0.5655083966242913-15,It's 11 AM and see the spirit. @SAPTechEd #SAPTechEd @SAP,it am and se the spirit 
13,0.5655083966242913-16,#WhatsApp to share numbers with #Facebook for better ads... Can it be kept simple ? @WhatsApp #WishfulThinking,to share numbers with for better ads can it be kept simple 
14,0.5655083966242913-17,Setting an example for other ministers. Hats off ma'm @SushmaSwaraj #proudIndian #manoyanamano,setting an example for other ministers hats of ma m
15,0.5655083966242913-18,Pls update camera for Nexus 6 @google #Nougat @Android,pls update camera for nexus
16,0.5655083966242913-19,Recession is coming. #BREXIT,recession is coming 
17,0.5655083966242913-20,#IqbalAbdulla don't forget the name. #RCBvGL #IPL2016,don t forget the name 
18,0.5655083966242913-21,3 cheers for #iqbalabdulla #RCBvGL #IPL2016,cheers for
19,0.5655083966242913-22,Now take that... helicopter #brilliant @msdhoni #RPSvKXIP #IPL2016,now take that helicopter
20,0.5655083966242913-23,Poor #vodafone superfan was cheering for @mipaltan #MIvSRH #IPL2016,poor superfan was cheering for
21,0.5655083966242913-24,Cheers for @mipaltan they crossed their lowest total. #MIvSRH #IPL2016,cheers for they crossed their lowest total 
22,0.5655083966242913-25,Ask from the audience.. There should be a declare option.. #IPL2016 #MIvSRH,ask from the audience there should be a declare option 
23,0.5655083966242913-26,News from center... Neeta Ambani booked #CivilWarCaptainAmerica tickets for @mipaltan that is why all r in hurry. #MIvSRH #IPL2016,news from center neeta ambani booked tickets for that is why al r in hurry 
24,0.5655083966242913-27,Can you start the next match ? Done with #MIvSRH  #IPL2016,can you start the next match done with
25,0.5655083966242913-28,At least play 20 overs!! @mipaltan #MIvSRH #IPL2016,at least play overs 
26,0.5655083966242913-29,Are @mipaltan really defending champs ? #MIvSRH  #IPL2016,are really defending champs 
27,0.5655083966242913-30,To all hitters in #IPL2016 Ab ye karke dikhao..@imVkohli,to al hitters in ab ye karke dikhao 
28,0.5655083966242913-31,We don't need anybody else. Only @imVkohli is sufficient. #RCBvRPS #IPL2016,we don t need anybody else only is sufficient 
29,0.5655083966242913-32,Boys were not ready for fielding.. @imVkohli  #RCBvRPS #IPL2016,boys were not ready for fielding 
30,0.5655083966242913-33,What are you doing @RCBTweets #RCBvRPS #IPL2016,what are you doing
31,0.5655083966242913-34,Once again.. lovely gentlemen.. Hahaha.. #RochelleRao #IPL2016 #bloopers,once again lovely gentlemen hahaha 
32,0.5655083966242913-35,Yes #umeshyadav you can break #sangwans record. Umpires pls help him. #RCBvKKR #IPL2016,yes you can break record umpires pls help him 
33,0.5655083966242913-36,Baby..baby..baby...oooo #KKRvsRCB #IPL2016,baby baby baby o
34,0.5655083966242913-37,@KKRiders bowlers want to test their batsmen. #RCBvKKR #IPL2016 Dil khol ke lutao..,bowlers want to test their batsmen dil khol ke lutao 
35,0.5655083966242913-38,Defending champions really ? #RPSvsMI #IPL2016 @JontyRhodes8 r u seeing ?,defending champions really r u seeing 
36,0.5655083966242913-39,This time it's abt colorful jersey's and injured players. #IPL2016 #RPSvGL,this time it abt colorful jersey and injured players 
37,0.5655083966242913-40,So many action items for @JontyRhodes8 #MIvKKR #IPL2016,so many action items for
38,0.5655083966242913-41,What was that.. #McClenaghan #MIvsKKR #IPL2016,what was that 
39,0.5655083966242913-42,In no time 170 can become 270.. #DDvGL #IPL2016,in no time can become 
40,0.5655083966242913-43,Is 250 on the cards ?? #DDvGL #IPL2016,is on the cards 
41,0.5655083966242913-44,#zaheerkhan why did u choose balling. ? For this.. #DDvGL #IPL2016,why did u choose balling for this 
42,0.5655083966242913-45,20 years and counting.. Thanks for innovating in #India for India. @SAP,years and counting thanks for innovating in for india 
43,0.5655083966242913-46,India is about colors. Therefore this #IPL2016 is so colourful. #shoes #Jersey,india is about colors therefore this is so colourful 
44,0.5655083966242913-47,Target achieved.. #heat #summer,target achieved 
45,0.5655083966242913-48,Can we submit the solution in two categories ? #Techsplo ration #BringYourOwnSolution#SpaceAppsChallenge,can we submit the solution in two categories ration
46,0.5655083966242913-49,Demo time. #SpaceAppsChallenge @NASA @TeamIndus #nasaspaceappschallenge @saplabsindia @SAP_UA,demo time 
47,0.5655083966242913-50,Yes we are awake n working. #NasaSpaceApps #SpaceAppsChallenge @saplabsindia #sapngc #teamCSMW @SAP_UA @TeamIndus @NASA,yes we are awake n working 
48,0.5655083966242913-51,Thnks #MotherNature n @brahmacj fr ths knd gesture #NasaSpaceApps #SpaceAppsChallenge @saplabsindia #SAPNGC @SAP_UA,thnks n fr ths knd gesture
49,0.5655083966242913-52,Full swing. @TeamIndus @NASA #nasaspaceappschallenge #SpaceApps,ful swing 
