,id,text,Cleaned_tweet
0,0.712703462923385-2,"Meizu m3s with 5-inch display, fingerprint sensor, 3 GB Ram, 4G VoLTE launched in India starting at Rs. 7999...",meizu ms with inch display fingerprint sensor gb ram g volte launched in india starting at rs 
1,0.712703462923385-4,"Samsung Galaxy C9 Pro with Snapdragon 653, 6GB RAM, 16MP front and rear cameras official...",samsung galaxy c pro with snapdragon gb ram mp front and rear cameras official 
2,0.712703462923385-5,Google Trips vacation planner launched in India...,google trips vacation planner launched in india 
3,0.712703462923385-6,"Google Allo 2.0 for Android gets support for split-screen, quick reply, GIF keyboard and more...",google allo for android gets support for split screen quick reply gif keyboard and more 
4,0.712703462923385-7,"Swipe Elite 2 Plus with 5-inch display, 1GB RAM, 4G LTE launched for Rs. 4444...",swipe elite plus with inch display gb ram g lte launched for rs 
5,0.712703462923385-8,Twitter to shut down Vine in coming months http://www.techotweet.com/2016/10/twitter-to-shut-down-vine-in-coming.html …,twitter to shut down vine in coming months
6,0.712703462923385-9,"Xiaomi Mi Note 2 with 5.7-inch 1080p dual curved OLED display, Snapdragon 821, 4GB RAM announced...",xiaomi mi note with inch p dual curved oled display snapdragon gb ram announced 
7,0.712703462923385-10,"Xiaomi Mi MIX with 6.4-inch bezel-less display, Snapdragon 821, 4GB RAM, ceramic body announced...",xiaomi mi mix with inch bezel les display snapdragon gb ram ceramic body announced 
8,0.712703462923385-11,"BlackBerry DTEK60 with 5.5-inch Quad HD display, Snapdragon 820, 4GB RAM announced for $499...",blackberry dtek with inch quad hd display snapdragon gb ram announced for 
9,0.712703462923385-12,"LG X Power with 5.3-inch display, 4100mAh battery, 4G VoLTE launched in India for Rs. 15990...",lg x power with inch display mah battery g volte launched in india for rs 
10,0.712703462923385-13,"LG U with 5.2-inch 1080p display, Android 6.0, 4G LTE announced...",lg u with inch p display android g lte announced 
11,0.712703462923385-14,"ZTE Axon 7 MAX with 6-inch 1080p 3D display, Snapdragon 625, 4GB RAM, dual 13MP rear cameras announced...",zte axon max with inch p d display snapdragon gb ram dual mp rear cameras announced 
12,0.712703462923385-15,"Truecaller now fully compatible with iOS 10, updates spam caller ID and block feature for iPhone...",truecaller now fully compatible with ios updates spam caller id and block feature for iphone 
13,0.712703462923385-16,"InFocus Epic 1 with 5.5-inch 1080p display, Deca-Core Helio X20, 16MP camera launched for Rs. 12999...",infocus epic with inch p display deca core helio x mp camera launched for rs 
14,0.712703462923385-17,"Videocon Ultra50 with 5-inch display, 3GB RAM, fingerprint sensor, 4G VoLTE launched for Rs. 8990...",videocon ultra with inch display gb ram fingerprint sensor g volte launched for rs 
15,0.712703462923385-18,"Apple TV gets updated: new TV app, Minecraft and more coming later this year...",apple tv gets updated new tv ap minecraft and more coming later this year 
16,0.712703462923385-19,LG G6 will reportedly not have a modular design and Friends modules...,lg g wil reportedly not have a modular design and friends modules 
17,0.712703462923385-20,"Honor 6X with 5.5-inch 1080p display, 4GB RAM, 64GB internal storage dual rear cameras, 4G VoLTE announced...",honor x with inch p display gb ram gb internal storage dual rear cameras g volte announced 
18,0.712703462923385-21,Samsung Galaxy Note7 customers who opt for Galaxy S7 or S7 edge get 50% discount on Galaxy S8 or Note8 in Korea...,samsung galaxy note customers who opt for galaxy s or s edge get discount on galaxy s or note in korea 
19,0.712703462923385-22,Apple Watch Nike  to be available in India on October 28 starting Rs. 32900...,apple watch nike to be available in india on october starting rs 
20,0.712703462923385-23,Sony MDR-XB50BS and MDR-XB80BS Sports Bluetooth in-ear headphones launched in India starting at Rs. 5490...,sony mdr xbbs and mdr xbbs sports bluetooth in ear headphones launched in india starting at rs 
21,0.712703462923385-24,"OPPO R9s Plus with 6-inch 1080p displays, 16MP front and rear cameras announced...",oppo rs plus with inch p displays mp front and rear cameras announced 
22,0.712703462923385-25,Apple releases iOS 10.1 with Portrait camera mode for iPhone 7 Plus and other improvements...,apple releases ios with portrait camera mode for iphone plus and other improvements 
23,0.712703462923385-26,"Zopo Color F5 with 5-inch display, fingerprint sensor, 4G LTE launched for Rs. 10590...",zopo color f with inch display fingerprint sensor g lte launched for rs 
24,0.712703462923385-27,"Samsung Galaxy On Nxt with 5.5-inch 1080p display, 3GB RAM, fingerprint sensor launched for Rs. 18490...",samsung galaxy on nxt with inch p display gb ram fingerprint sensor launched for rs 
25,0.712703462923385-28,"LYF F1 with 5.5-inch 1080p display, 3GB RAM, 16MP camera, 4G VoLTE launched for Rs. 13399...",lyf f with inch p display gb ram mp camera g volte launched for rs 
26,0.712703462923385-29,Samsung Galaxy S8 could feature optical fingerprint recognition...,samsung galaxy s could feature optical fingerprint recognition 
27,0.712703462923385-30,"Truecaller now fully compatible with iOS 10, updates spam caller ID and block feature for iPhone...",truecaller now fully compatible with ios updates spam caller id and block feature for iphone 
28,0.712703462923385-31,Microsoft announces range of VR headsets for Windows 10 starting at $299...,microsoft announces range of vr headsets for windows starting at 
29,0.712703462923385-32,"Google Allo 2.0 for Android gets support for split-screen, quick reply, GIF keyboard and more...",google allo for android gets support for split screen quick reply gif keyboard and more 
30,0.712703462923385-33,"Samsung Galaxy C9 Pro with Snapdragon 653, 6GB RAM, 16MP front and rear cameras official...",samsung galaxy c pro with snapdragon gb ram mp front and rear cameras official 
31,0.712703462923385-34,"Swipe Elite 2 Plus with 5-inch display, 1GB RAM, 4G LTE launched for Rs. 4444...",swipe elite plus with inch display gb ram g lte launched for rs 
32,0.712703462923385-35,"Apple TV gets updated: new TV app, Minecraft and more coming later this year...",apple tv gets updated new tv ap minecraft and more coming later this year 
33,0.712703462923385-36,"Gionee P7 Max with 5.5-inch display, 3GB RAM, 4G VoLTE, 3100mAh battery launched for Rs. 13999...",gione p max with inch display gb ram g volte mah battery launched for rs 
34,0.712703462923385-37,"Panasonic Eluga Tapp with 2GB RAM, fingerprint sensor, 4G VoLTE launched for Rs. 8990...",panasonic eluga tap with gb ram fingerprint sensor g volte launched for rs 
35,0.712703462923385-38,Vodafone offers free incoming calls while roaming nationally...,vodafone offers fre incoming calls while roaming nationally 
36,0.712703462923385-39,Facebook claims India has over 155 million monthly active users...,facebook claims india has over million monthly active users 
37,0.712703462923385-40,"Moto G4, G4 Plus Android 7.0 Nougat to roll out in India soon, soak test begins for G4 Plus...",moto g g plus android nougat to rol out in india soon soak test begins for g plus 
