id,text
0.5407492246586432-2,It was an awesome live stand-up comedy program of @EastIndiaComedy with @sapanv and dinner with #UberAfterParty. Thx
0.5407492246586432-4,@sureshpprabhu @RailMinIndia @WesternRly Ahmedabad Railway station platform no. 2/3
0.5407492246586432-5,"२ अक्टूबर की छुट्टी कैन्सल ।

गांधीजी मिल गए दुबई में 
मोबाइल की दुकान चलाते है । #GandhiJayanti"
0.5407492246586432-6,"Mass wastage of water at ADI stns all platforms, is this supporting #SwatchhBharat mission or #GreenIndia Mr. @sureshpprabhu @RailMinIndia"
0.5407492246586432-7,"@JimElRezzi Jim, why your whatsapp shows warning here? In earlier version there was no such warnings. Now is v4.84"
0.5407492246586432-8,@Gmwrly @drmadiwr platform no. 2/3. Mass wastage of water. No water for poors. ADI Railway is wasting it. https://youtu.be/SwxGl__RDws 
0.5407492246586432-9,Mr. @drmadiwr I'm sitting right now at platform no. 2. Train no. 17204 was announced 50min late. Later more delayed. #RIP TO #BulletTrain
0.5407492246586432-10,Pls have a look at this Mr. @sureshpprabhu @RailMinIndia @WesternRly https://youtu.be/SwxGl__RDws  #SwatchhBharat
0.5407492246586432-11,@JimElRezzi i tried to use this in samsung J7—6 model. But give up as it's running out of my mind. 
0.5407492246586432-12,@JimElRezzi thanks for this too
0.5407492246586432-13,A Letter To My Husband - Mandeep Kaur Sidhu
0.5407492246586432-14,"@XiaomiIndia hello, after updating my redmi note 3G it shows different mi user id (not mine) & shows device locked."
0.5407492246586432-15,@MTS_India u hv capped network tower  speed at 2MBPS & telling lies to client of providing speed up to 9.2mbps. Since 6month prob unsolved
0.5407492246586432-16,@MTS_India #9137240397. I have a proof that Ur company is cheating with customers. #TRAI pls take a note. Complaint #JUN/3691. STOP FOOLING
0.5407492246586432-17,Pair 2 Win Mi phones and cash coupons! http://www.mi.com/in/events/2ndanniversary/playgame/ …
0.5407492246586432-18,Don’t miss #UberIceCream on Friday—set your ice cream alarm clock at https://pages.et.uber.com/icecream/?lang_id=1 …
0.5407492246586432-19,@SophiaAbella Namaste but you are still not following me. 
0.5407492246586432-20,A moment of silence 
0.5407492246586432-21,So true! @ZeeNews @ZeeNewsHindi @RamPD78 @Rtaunk @sudhirchaudhary 
0.5407492246586432-22,"So now are you trying to compare Switzerland with Delhi, India? Switzerland is having population half of delhi."
0.5407492246586432-23,"Citizens may offer better solutions for pollution:Bike lanes,better public transport/BRT,than gimmicks like odd/even
http://thewire.in/2016/04/14/delhi-should-have-given-its-citizens-a-say-in-traffic-pollution-control-measures-29503/ …"
0.5407492246586432-24,"@RailMinIndia check last lines in screenshot, chart not prepared for train departing after 2hrs ."
0.5407492246586432-25,@RailMinIndia anyone care to reply me? Hello! @IRCTC_Ltd @sureshpprabhu #IndianRailway #railwaypnr
0.5407492246586432-26,@RailMinIndia the same status keeps showing and also status of chart not prepared is showing. Pnr: 8402009055
0.5407492246586432-27,"@RailMinIndia hello, my pnr is 8402009055. My train is departing in next 2hrs but still my booking status shows confirmed & no seat no. Why?"
0.5407492246586432-28,Sir @sureshpprabhu your railway helpline number 044-25300000 is ringing continously from last 10 min but no one is receiving call.
0.5407492246586432-29,"Lo ji Paridhan Mantri ji, ab kya kahoge? Ya dubara bulaoge #ISI walo ko gawaho se bayan lene?"
0.5407492246586432-30,पठानकोट गवाहों से पूछताछ नहीं करने दी: पाक  http://bbc.in/22cRif6 
0.5407492246586432-31,@shabanais my wife is a Danish and she cooks best pasta   @YRDeshmukh
0.5407492246586432-32,Aha!
0.5407492246586432-33,India did not present witnesses belonging to security forces: Pakistan on JIT visit http://timesofindia.indiatimes.com/india/India-did-not-present-witnesses-belonging-to-security-forces-Pakistan-on-JIT-visit/articleshow/51719581.cms?utm_source=twitter.com&utm_medium=referral&utm_campaign=TOIIndiaNews …
0.5407492246586432-34,"Bhaad me gaya JNU, NIT... @sambitswaraj toh TV me humesha aise hi nazar aate hai "
0.5407492246586432-35,When the homie shows you ampme 
0.5407492246586432-36,More relevant if you say @PMOIndia and Miya #NawazSharif 
0.5407492246586432-37,Nawaz Sharif and ISI right now. 
0.5407492246586432-38,#ROFFL or Assam me Banian or Tamilnadu me sarkar bana k underwear pehna do? 
0.5407492246586432-39,"Centre mein sarkar bana kar aap logon ne humein kurta to pehna dia,ab WB mein bhi humari sarkar bana kar humein dhoti,pyjama bhi pehna do-HM"
