id,text
0.5005587103772278-2,"@Gurmeetramrahim #NonStopCrazeForMSG2  gr8 papa g n its only due to ur guidance, salute to u papa g....."
0.5005587103772278-4,@Gurmeetramrahim #MSG2WowMSG2 thanks papa g n merry Christmas  papa g
0.5005587103772278-5,@Gurmeetramrahim #MSG2WowMSG2  waoooooo outstanding......
0.5005587103772278-6,@Gurmeetramrahim #MSG2In447 thanks for blessings papa g
0.5005587103772278-7,@Gurmeetramrahim #Happy25Jan happy birthday papa g.....
0.5005587103772278-8,@Gurmeetramrahim #LetsBringPeace  thanks papa g n same to u g
0.5005587103772278-9,@Gurmeetramrahim #WowMSG2MSG2  waoooooooooooo wt a craze.......
0.5005587103772278-10,@Gurmeetramrahim #100DaysOfMSG2  waooooooooo amazing gr8888 craze. Thanks for blessings papa g
0.5005587103772278-11,@Gurmeetramrahim #MSG2WowMSG2 waooooooo fabulous craze .......n thanks for blessings papa g
0.5005587103772278-12,@Gurmeetramrahim #MSG2in447  waoooooooooooo amazing
0.5005587103772278-13,"@Gurmeetramrahim #11thWeekOnTheTopMSG2 dhan dhan satguru tera hi asra pita g aj mera b,day h plz bless me n sewa simrn prmrth ka BL bkshna g"
0.5005587103772278-14,@Gurmeetramrahim #11thWeekOnTheTopMSG2 waoooooo greatttttt
0.5005587103772278-15,@Gurmeetramrahim #MSG2EntersIn434 waoooooo gr8888 n its only because of ur guidance n thanks for blessings guru g
0.5005587103772278-16,@Gurmeetramrahim #MSG2in9thweek waooooooooooooo gr8888888 n thanks for blessings guru g
0.5005587103772278-17,@Gurmeetramrahim #DiwaliBumperMSG2In8thWeek  amazing
0.5005587103772278-18,@Gurmeetramrahim #DiwaliBumperMSG2In8thWeek waoooooo u r looking awesome
0.5005587103772278-19,@Gurmeetramrahim #DiwaliBumperMSG2In8thWeek  gr88888 n thanks for blessings g
0.5005587103772278-20,@Gurmeetramrahim #MSG2onTheTopInHaryana thanks for blessings papa g
0.5005587103772278-21,@Gurmeetramrahim @aajtak #MSG2RidesHigh waooooooo its amazing.....
0.5005587103772278-22,@Gurmeetramrahim #7thWeekMSG2  waoooooo its greattttt
0.5005587103772278-23,@Gurmeetramrahim #MSG2Crossed375 #WishBdayByWelfare  thanks papa g n congrats to u papa g
0.5005587103772278-24,@Gurmeetramrahim #EverywhereMSG2MSG2 g papa g n thanks for ur guidance
0.5005587103772278-25,@Gurmeetramrahim #EverywhereMSG2MSG2 n u r looking awesome pa
0.5005587103772278-26,@Gurmeetramrahim #HaryanaRocksWithMSG2 waooooooooo its amazing... ..
0.5005587103772278-27,@Gurmeetramrahim #HaryanaRocksWithMSG2 congratulations to u papa g
0.5005587103772278-28,@Gurmeetramrahim #SuperbMSG2  waoooooooooo amazing
0.5005587103772278-29,@Gurmeetramrahim #SuperbMSG2  very gud mrng papa g .....n thanks for blessings.....
0.5005587103772278-30,@Gurmeetramrahim #MSG2GrandSuccess waooooooooooo amazing
0.5005587103772278-31,@Gurmeetramrahim #BlockBusterMSG2 waoooooo
0.5005587103772278-32,@Gurmeetramrahim #BlockBusterMSG2  waoooooooo amazing
0.5005587103772278-33,@Gurmeetramrahim #BlockBusterMSG2 greattttttttt
0.5005587103772278-34,@Gurmeetramrahim #BlockBusterMSG2  thanks for or guidance papa g
0.5005587103772278-35,@Gurmeetramrahim #Target350HitByMSG2 gud night pa n thanks for blessings papa g
0.5005587103772278-36,@Gurmeetramrahim @MSGTheFilm #MSG2Crossed325  waooooooooo greatttttt
0.5005587103772278-37,@Gurmeetramrahim #LoveForMSG2  waoooooooo amazing
0.5005587103772278-38,@Gurmeetramrahim #MSG2RocksDelhi  outstanding craze.... n thanks for blessings papa g
0.5005587103772278-39,@Gurmeetramrahim #MSG2RocksDelhi waoooooo gr88888
0.5005587103772278-40,@Gurmeetramrahim #MSG2RocksDelhi  amazing.....
0.5005587103772278-41,@Gurmeetramrahim #GodBlessMSG2Fans outstanding craze.....
0.5005587103772278-42,@Gurmeetramrahim #MSG2Crossed300  awesome celebration
0.5005587103772278-43,@Gurmeetramrahim #MSG2Crossed300  thanks a lot papa g
0.5005587103772278-44,@Gurmeetramrahim #MSG2Crossed300  waoooooo congrats papa g n very gud morning thanks g
0.5005587103772278-45,@Gurmeetramrahim #4thWeekMSG2AtTheTop  gr8 celebration
0.5005587103772278-46,@Gurmeetramrahim #4thWeekMSG2AtTheTop  awesome......
0.5005587103772278-47,@Gurmeetramrahim #4thWeekMSG2AtTheTop  superbbbbbbb
0.5005587103772278-48,@Gurmeetramrahim #4thWeekMSG2AtTheTop  waooooooooo amazing
