id,text
0.5477838252581613-2,पानी का दुरूपयोग वो भी आईपीएल जैसे खेल के जिए जिसमें भ्रष्‍टाचार भी उजागर हो चुका है । वाह भाई वाह #FarmersvsIPL
0.5477838252581613-4,U mi8 nt be d supporter of Modi G bt wn it's comes to India all f us includin politicl parties say v r Indian 1st #JaiMataDi #HappyNavratri
0.5477838252581613-5,Sorry #Shaktiman #shaktimanhorse we brutal animal could not save you. Shame on humanity @PetaIndia @SrBachchan
0.5477838252581613-6,I guess neither the court nor the govt would do such things as has been done against Hindu Temples Haji Ali #HajiAli
0.5477838252581613-7,"Jai Hind, Jai Hind ki Sena Indian army did it s braveherts nt lyk Pakis who use inocent s trrorst #SurgicalStrike @narendramodi @SrBachchan"
0.5477838252581613-8,"Jai Hind, Jai Hind ki Sena. Indian army did it as bravehearts not like Pakis who use innocent as terrorist. #ceasefireviolations"
0.5477838252581613-9,"Whether any Govt. wud dare 2 announc cores rs.4 d widws,son n dotrs of Jawans ""HERO"" s de do 4 cricktrs or Olympins? Ans. #UriAttacks"
0.5477838252581613-10,P.V. Sindhu & Sakshi Malik u girls gav solid slap 2 ppl who do femal foticide  #Rio2016 #RioOlympics2016 @sachin_rt @SakshiMalik @Pvsindhu1
0.5477838252581613-11,This sickularity will make hindu minority soon :D Haji Ali
0.5477838252581613-12,@CloudExpertsI Bro. women hav got equal right then on what basis dominating men debarring them from entering in temple/mosque/Dargahs
0.5477838252581613-13,Where the hell it is written that women (Hindu/Muslim/Christian etc.) sud nt b allowed in Temple/Mosque/Dargah/Masjid etc. #HajiAli Haji Ali
0.5477838252581613-14,Great to see that legends like @SrBachchan @sachin_rt you dont bother in following fans...
0.5477838252581613-15,Watch amazing video and RT https://www.youtube.com/watch?v=CY7QG_8dgzs … @SrBachchan @sachin_rt @imVkohli @ImRaina @SirJadeja @kangna_ranaut
0.5477838252581613-16,Good morning to two great personalities of Indian Cricket the God of Cricket @sachin_rt & Run Machine @imVkohli
0.5477838252581613-17,@SrBachchan Sir you hv IPCA Lab in Indore. My brother-in-law is highly in need of job please help if any post there. He not highly educated
0.5477838252581613-18,@pbhushan1 Sir need ur kind support for a PIL or Letter Petition. Plz give ur consent. It ll change the scenario of bureaucracy if accepted
0.5477838252581613-19,@imVkohli @ndtv @aajtak @DainikBhaskar Where the hell are NGOs and congrats @PetaIndia for initiating action. #Shaktiman #shaktimanhorse
0.5477838252581613-20,We the brutal human beings compelled you to sacrifice your life. RIP #Shaktiman #shaktimanhorse
0.5477838252581613-21,@westernrailwayz Sir I hv to book approx. 30 tickets reservation to n fro journey for marriage kindly let me know the procedure please.
0.5477838252581613-22,@pbhushan1 Sir u r associated with CPIL n if u file a PIL for d benefit of govt. employees it wud b in their interest. Plz let me knw
0.5477838252581613-23,Good Noon God of Cricket @sachin_rt and amazing and match winner player @imVkohli
0.5477838252581613-24,Sachin and Kohli Really I wana meet you together once. 4 teams entered in SF 1. NZ 2. ENG 3. WI and 4. Kohli #IndvsAus @CRICKET_4U98
0.5477838252581613-25,Yeah deeply sad for you @ShaneRWatson33 Thanks for your contribution. I wish if you could delay your retirement. :)
0.5477838252581613-26,@imVkohli Thank you so much you are a true batsman. Njoyed ur batting. I am ur big fan wana meet you :) #IndvsAus
0.5477838252581613-27,BTW thank you @qandilbaloch maam for dedicating a dance performance to Indian Team and its fans.
