id,text
0.7924942083018995-2,"""Remembering people's president""
President With "" NO HATERS ""

it's APJ Abdul Kalam's first
death anniversary....

The real hero"
0.7924942083018995-4,@nishantgola landlord shab toilet  toh saaf nhi karwa rahe na tujh se
0.7924942083018995-5,"Job 2 ही cases में अच्छी  लगती  हैं  जब  उसके  आगे, ""Blow"" या  ""Hand"" लगा हो ॥॥"
0.7924942083018995-6,"एक लड़की मिली थी
वो भी डंप कर गयी
डंप होने को बैठा हूँ
कोई मिले तो सही ।।"
0.7924942083018995-7,मेने Engineering ली और Engineering ने मेरी  ।।।  #बेरोजगार  #YoungJustice
0.7924942083018995-8,"Uncle: ""Happy birthday to beta""

ME: thnx

Uncle : kitne ka ho gaya? 

ME: 23 ka 

Uncle: Bas pata hai teri umar mein 35 ka tha mein.."
0.7924942083018995-9,The greatest discovery of my generation is that people can alter their lives by altering their attitudes
0.7924942083018995-10,As a proud son of Ex-army man (my dad) Just wanna say Thank You  Soldiers...  #Sandesh2Soldiers
0.7924942083018995-11,Twitter celeb are like we are #twitter celeb so we hate #Facebook.. I was like #WTF ?
0.7924942083018995-12,I helped feed a child when I bought from WYO.in you can do it too and here is discount coupon for  it http://wearyouropinionwyo.refr.cc/H5C3KBV  via @wyonow
0.7924942083018995-13,"Do what is right,not what is easy."
0.7924942083018995-14,"#engineers today
#entrepreneur tomorrow
#dream"
0.7924942083018995-15,"I love to work for my dreams
rather than someone elses...."
0.7924942083018995-16,"Some people are alive only,
because it’s illegal to kill
them."
0.7924942083018995-17,"Isn’t it scary that doctors
call what they do “practice”?"
0.7924942083018995-18,"The last thing I want to do
is insult you. But it IS on the
list."
0.7924942083018995-19,"I think sex is better than
logic,but I can’t prove it...."
0.7924942083018995-20,#PVSindhu u made us proud...
0.7924942083018995-21,"The last drop of urine doesn't obey
the law of gravity unless u shake it
well !!
:- Newton के चाचा के दोस्त का लड़का"
0.7924942083018995-22,"“Did you ever notice,whenever you need your keys the most,that’s when they’re the hardest to find?”"
0.7924942083018995-23,"Failure is not falling down,it is not getting up again...!!!"
0.7924942083018995-24,"Why is a bra singular and
panties plural?"
0.7924942083018995-25,"Why do women always ask
questions that have no right
answers?"
0.7924942083018995-26,"Why do you need a driver’s
license to buy liquor when you
can’t drink and drive?"
0.7924942083018995-27,"I love oral sex…it’s the
phone bill I hate."
0.7924942083018995-28,"Friends are like condoms:
They protect you when things
get hard."
0.7924942083018995-29,"Why does someone believe you
when you say there are four billion
stars, but check when you say the
paint is wet?"
0.7924942083018995-30,If #RGFights4Dalits Then at first please ban the word dalit its not just a word its is a kind of medicine for dirty politics.....
0.7924942083018995-31,#WhenIWas13 Start masturbating....
0.7924942083018995-32,#WhenIWas13 just had my first crush & heart broken too..
0.7924942083018995-33,#WhenIWas13 Watch my first-ever porn...
0.7924942083018995-34,"I never get it why they call it honour killing..how killing some one gets u honour..

#QandeelBaloch"
0.7924942083018995-35,Feel sorry for that Girl who think that every guy wants her...!!!
0.7924942083018995-36,"#SingleBecause still not found a girl who like Sachin,batman & Eminem all 3 of them"
0.7924942083018995-37,#SingleBecause she don't want  batman as her boyfriend
0.7924942083018995-38,#SingleBecause 24x7 using Twitter that's why may be...
0.7924942083018995-39,#SingleBecause Never get any match on #Tinder
0.7924942083018995-40,"I just want someone to choose me
and never stop choosing me."
0.7924942083018995-41,"Terrorism have no religion till they r killing,if they got killed Presstitutes want gov. reply for killing of muslims
#UnitedAgainstTerror"
0.7924942083018995-42,born in 90's stop calling yourself kid's...
0.7924942083018995-43,Seriously that's a killer combo...
0.7924942083018995-44,"बेबी तू है Oscar तो मैं भी हूँ
Leonardo एक ना एक दिन तुझे पा ही लूँगा ॥॥"
0.7924942083018995-45,"France was the better team but
it wasn't meant to be lol They
had so many chances~ But
congrats to Portugual í ¼í¾í ¼í¾
#Euro2016Final"
0.7924942083018995-46,"I m not sleeping I m just thinking about game(moth)
#Euro2016Final

http://gifrific.com/chandler-falls-asleep-during-meeting/ …"
0.7924942083018995-47,@tweetzaade : और वो भी महंगा वाला bournvita (कितने महँगे हैं ये 4G के पैक)
0.7924942083018995-48,"@sardesairajdeep : Shame on u,how can u compare A terrorist with legend Bhagat Singh.."
0.7924942083018995-49,#SaveKashmir from whom I don't get it if killing A terrorist not saving Kashmir I m dame sure Nothing can..
0.7924942083018995-50,Nice Hash tag now I can say that I m proud Indian #फौजियों_को_सलाम
0.7924942083018995-51,"#EURO2016 France gona win
easily..still wanna see some goals
from Ronaldo (More then Icon) 
#EuroFinalonSonySIX"
0.7924942083018995-52,"Antoine Griezmann has been
involved in 8 goals at #EURO2016
: the entire #Portugal squad have
scored 8 goals.. #EuroFinalonSonySIX"
0.7924942083018995-53,"So many People die in uttrakhand nobody bats an eye,One terrorist
died everyone loses his mind"
0.7924942083018995-54,@nishantgola : gola शाहरुख का मजाक मत बना वरना उसका झबरा फैन गणेश आ जाएगा ॥॥
0.7924942083018995-55,IF #Eminem songs won't give you motivation then I feel sorry for you..
0.7924942083018995-56,"dear haters I'm not a Facebook status,you don't have to like me."
0.7924942083018995-57,"A person who has no friends,
lives only half way #SaySomethingAboutFriends"
0.7924942083018995-58,"Serena Williams is like batman,cause u know she's always gonna win...  

((HISTORIC 7TH #Wimbledon WIN ))"
0.7924942083018995-59,"Smile,and you change the world
one little bit."
0.7924942083018995-60,"Hi guys.I am so happy and proud of myself and I thought I should share this with you!! 

Today I saw myself on TV,when I turned it off. "
0.7924942083018995-61,"@shirleysetia : I’d paint a rainbow in the sky just
to be able to wish you a beautiful
birthday! #shirleydiwas  #ShirleySetiaKaFan"
0.7924942083018995-62,@ShirleySetia : wishing happy birthday to extremely talented & the beautiful girl who rocks the world #shirleydiwas #ShirleyKaBirthday
0.7924942083018995-63,Troll at it's best https://www.instagram.com/p/BHY5MAMBCk9/ 
0.7924942083018995-64,That awkward moment when I flirt with a girl then I know she born in 2000...Shit she's just a child..yaar
0.7924942083018995-65,"#youtube IK KUDI DILJIT DOSHAN http://www.youtube.com/watch?v=KMVw5QaFog8&sns=tw …

kinda beautiful song.. ikk kudi

#UdtaPunjab"
0.7924942083018995-66,@rajsan2016 : acche ka pata nhi but that's definitely Kacche din
0.7924942083018995-67,"I once accidentally said hi to a
feminist My trial begins tomorrow..."
0.7924942083018995-68,#SocialMediaDay I was like Fuck social media u r fake
0.7924942083018995-69,@vyangyapuraan :भाई जी सरकार 100 स्मार्ट सिटी की जगह 100 स्मार्ट नेता बनाएँ तो देश का भला हो कुछ ॥ ॥
0.7924942083018995-70,"Beliefs are made to control you. First they programm your brain with the beliefs then you work for them =
Slavery"
0.7924942083018995-71,"More people voted for 'Indian Idol'
than for the CM of ur state."
0.7924942083018995-72,“We live in a kingdom of bullshit.”
0.7924942083018995-73,"@vyangyapuraan : but every one knows his(arnab) famous quote ""nations want to know""  #PMSpeaksToArnab"
0.7924942083018995-74,@beingbaniya @zzoker : bro take it easy I also read it...
0.7924942083018995-75,"Starts my day with Batman begins & ended with The Dark Knight Rises..
Best trilogy ever.."
0.7924942083018995-76,"@ChhotaThalaiva : sir is there any news about second season of
TVF Pitchers... can't wait..."
0.7924942083018995-77,@vijayjoam :yaha bro like everyone found out how to Masturbate...
0.7924942083018995-78,"@DefucktiveHumor @aartic02 @msisodia @ArvindKejriwal : technically he is iiten,engineer ko badnam kar rakha hai..."
0.7924942083018995-79,#GameofThrones  #StarkFamily waiting for #GoTS06E10
0.7924942083018995-80,"AAP MLA's ri8 know...
#ArrestMeModi"
0.7924942083018995-81,"Looking at the trends today I
can say that Chutiyas are
leading from every side in this
political trend business....

#Copied"
0.7924942083018995-82,"बेनचोद सुबह से political tweet क्यों पेल रखें है ।। @iPoonampandey pic कोई डालो mood अच्छा हो ।।

#ArrestMeModi
#PhasGayiDilli"
0.7924942083018995-83,#नफरत_है_मुझको I have a boyfriend वाली लाइन से
0.7924942083018995-84,"@DuteeChand qualifies for
@Rio2016_en  contx girl u make us proud.."
0.7924942083018995-85,"baby baakiyo ke messages
Just delete them you don’t need
them..."
0.7924942083018995-86,"AM se PM main bheju tujhe DM
Baar baar karun check
Have you seen them..."
0.7924942083018995-87,"James Bond is going to need a
Visa for his missions now.
#Brexit"
0.7924942083018995-88,"Chicken Aise Pakao Ke Kachha Na Ho
Aur
Mohabbat Aise Nibhao Ke Baccha
Na Ho..

#UseCondom 
#SocialMsg"
0.7924942083018995-89,"भले ही किसीगैर की जागीर
थी वो,पर मेरे ख्वाबों 
की भी तस्वीर थी वो,मुझे मिलती तो
कैसे मिलती,किसी और के
हिस्से की तक़दीर थी वो....

#EmoTweet"
0.7924942083018995-90,बहनचो बारिश वाले गानों मे लड़कियाँ मस्त लगती है असल जिंदगी में साला कोई लड़की दिखाई नहीं देती बारिश मे !
0.7924942083018995-91,@rameshsrivats : that's the best sarcastically made tweet..on this  great...pehly ball pe 6
0.7924942083018995-92,"Me : पापा Anil Kumble कोच बन गया है

Dad : शर्मा जी के लड़के को देख Microsoft मे लग गया है...!!!

Me: 

(Gonna kill u sharma ji ke ladke)"
0.7924942083018995-93,@anilkumble1074  : contx jumbo u deserve it.. hat's off to new indian cricket coach
0.7924942083018995-94,@simranmalik1000 @adrashyababa : isn't weird story for #HeSheStory
0.7924942083018995-95,"Me : Do u like water ?

She : Yeh so what..

Me : Good u already like 70 % of me
..!!

#Savewater 
#HeSheStory"
0.7924942083018995-96,सोच रहा हूँ #AAP मैं शामिल हो जाता हूँ सूना है #केजरीवाल सबसे बकचोद है ।।
0.7924942083018995-97,"Lost 5 IQ points by reading
your tweet. @kamaalrkhan"
0.7924942083018995-98,@neerajsharmank @grawal1306 : meine bhi
0.7924942083018995-99,@grawal1306 @neerajsharmank @nishantgola : deva utha le re.. muje nhi iss celeb ko
0.7924942083018995-100,@nishantgola @grawal1306 : kya superman hai re tu duniya muskil mein or bhai soya hai
0.7924942083018995-101,@grawal1306 @nishantgola : jab celeb ki jarorat thi tab gayab tha yeh celeb
0.7924942083018995-102,@grawal1306 @beingsalmankhan @coreyluupton @luv_u_re @neerajsharmank  : Report spam karo iss ko
0.7924942083018995-103,@luv_u_re @grawal1306 @neerajsharmank @rahejaakshar : gaand marwa or block bhi lode.. I win u lose..
0.7924942083018995-104,@luv_u_re @coreyluupton @grawal1306 @neerajsharmank : apni maa chod le trust me she is still hot dame too hot.... fir #lMisquoted
0.7924942083018995-105,@luv_u_re @grawal1306 @neerajsharmank : still respect ur mom & sis but u r maa ka loda re sorry #IMisquoted
0.7924942083018995-106,"@shawtyykhanyy @grawal1306 : there are 2 kind of unusual people on earth 
1st Salman khan..

& 2nd Those are salman khan fan.."
0.7924942083018995-107,@grawal1306 : rape karwaya hai salman ne apna thabhi bolu sala shadi kyo nhi krta ganduwa hai wo
0.7924942083018995-108,Super heroes doing yoga why not u just try it and be #Batman #Hulk & #Superman its #YogaDay  stay fit #yogaforlife
0.7924942083018995-109,@katamulgi : do u think being raped is funny wtf ?
0.7924942083018995-110,after #SalmanMisquoted which I think he said wrong..do we should not make fun and stop posting about that cause seriously it's not funny..
0.7924942083018995-111,"#SalmanMisquoted 
'I felt like a raped woman.' nothing to say I don't know what to say.. very sad he said this"
0.7924942083018995-112,No Offense to anyone but I found this funny...
0.7924942083018995-113,"That moment in exam when the
invigilator stands behind you and
tries to read your answer and You
Have no idea of how to Avoid that
SITUATION"
0.7924942083018995-114,@parikhsanjana : u just forgot Badass Arya Stark (aka batman-girl)
0.7924942083018995-115,for me Session 6 episode 9 simply the best episode of #Gameofthrones just perfect...
0.7924942083018995-116,"Its just impossible to not looking at girls in yoga pants .Go ahead,stare.....be a stalker"
0.7924942083018995-117,"Baba Siddique is like मेरे करन अर्जुन आएँगे...!!!

 #BabaSiddiqueIftari"
0.7924942083018995-118,#BabaSiddiqueIftari जहाँ करन अर्जुन मिलते हैं हर साल...!!!
0.7924942083018995-119,Lag gaye 440 volt chhune se tere... such a addicted song u Nailed it  @MikaSingh
0.7924942083018995-120,@indiafinger : they surely high..while doing this
0.7924942083018995-121,@agenda_hunter @dna : engineering degree...
0.7924942083018995-122,"So if we lie to the government
it's a felony,but if they lie to
us its politics."
0.7924942083018995-123,"what's this #MundiDance,now u can sale ur useless dance moves on olx or what.. I don't get it"
0.7924942083018995-124,#seriously  #santa #engineering is not a easy task https://www.instagram.com/p/BGwYwPFwwUW/ 
0.7924942083018995-125,"Me : I love you..

She : But u r like brother to me..

Me : Do u watch #GameofThrones ??

** Awkward silence **"
0.7924942083018995-126,"friend: whats your favorite
season? 
me: of which show?
friend: 
me: 
friend: 
me: 
me: oh you meant like the weather ?"
0.7924942083018995-127,@nishantgola @grawal1306 : those are good old days...
0.7924942083018995-128,"Date a Anarchy we break
law not heart."
0.7924942083018995-129,@neerajsharmank @nishantgola : bilkul bhai kyo nhi
0.7924942083018995-130,I'm in the mood to receive free 100 gb 4g data....!!!
0.7924942083018995-131,@nishantgola @neerajsharmank : Twitter celeb todi barish yaha bhi beaj do bhaio...
