id,text
0.3008120929010558-2,"@DiyaKaurEternal Happy birthday to the most wonderful, awesome, beautiful & great friend U R ..Hav an awesome birthday.."
0.3008120929010558-4,"Resarch prove that
Awww ki jagah BC bolne wali ladkiya jada achi bestie hoti hain ..."
0.3008120929010558-5,"Patni ne subah subah bola ki aadha sir dukh rha hai
Maine galti se bol diya jitna hai utna hi dukhega na
Tab se mera poora sir dukh raha hai"
0.3008120929010558-6,@DiyaKaurEternal agreed u r not good...bcoz u r more then good..no girl comparison wid Diya..
0.3008120929010558-7,@DiyaKaurEternal niche upar kahi kam theek ni ab kaha seting hogi..mobile k seting me
0.3008120929010558-8,@DiyaKaurEternal apne to apne hote he .gam chodo fewikwik lo..haha
0.3008120929010558-9,"choti height is not a big problem....

choti soch is a problem...."
0.3008120929010558-10,Fall in love and get ready for disappointments.
0.3008120929010558-11,"Follow your heart, not your ego."
0.3008120929010558-12,@KAMALsSUTRA real me b haha
0.3008120929010558-13,"Do what is right, not what is easy."
0.3008120929010558-14,Hope is the power that gives a person the confidence to step out and try.....
0.3008120929010558-15,Faking a smile will actually boost your mood.
0.3008120929010558-16,@DiyaKaurEternal c me ...
0.3008120929010558-17,@DiyaKaurEternal ha ha kanjra kalmuah
0.3008120929010558-18,Your struggle is part of your story.
0.3008120929010558-19,"Love the beauty, 
not the nudity."
0.3008120929010558-20,A heart full of pain and a head full of stress
0.3008120929010558-21,The happiness of your life depends on the quality of your thoughts.
0.3008120929010558-22,Silence is the most powerful scream.
0.3008120929010558-23,"Care less, smile more."
0.3008120929010558-24,@YoBlackPepper u r out of cheese..now try kiss
0.3008120929010558-25,SMALL changes can make a BIG difference.
0.3008120929010558-26,5% battery life of iPhone is  equivalent to 20% of an android .
0.3008120929010558-27,"People change, feelings fade, things go wrong, memories remain but life goes on."
0.3008120929010558-28,"After every party or get together,
It has become our moral duty to say

""saare pics whatsapp kar dena"" "
0.3008120929010558-29,"*Follows a girl on Twitter*

She : Tumhare ghar maa bhen nai?"
0.3008120929010558-30,Excuses are useless. Results are priceless.
0.3008120929010558-31,You're the reason behind my smile
0.3008120929010558-32,Actions + reactions = life..
0.3008120929010558-33,"a girls 'lol' is so powerful, so much anger in just 3 letters"
0.3008120929010558-34,Love is what makes you smile when you're tired.
0.3008120929010558-35,Expect the BEST. Prepare for the WORST. Forget what others THINK.
0.3008120929010558-36,"Some people come in your life as blessings, others come in your life as lessons."
0.3008120929010558-37,"Love like there's no tomorrow, and if tomorrow comes, love again."
0.3008120929010558-38,Daru on the House
0.3008120929010558-39,A-kiss-without-a-hug-is-like-a-flower-without-the-fragrance...
0.3008120929010558-40,Sunday is funday..
0.3008120929010558-41,@DevilPixiee wht abt nice lunch
0.3008120929010558-42,"Love your parents. We are so busy growing up, we often forget they are also growing old."
0.3008120929010558-43,"the more you care, the more you have to lose"
0.3008120929010558-44,Everybody starts caring when it's too late
0.3008120929010558-45,"Biwi- roz mere mooh pe paani kyun daalte Ho? 
Pati- tere baap ne kaha tha, meri Ladki phool ki tarah hai, ise murjhaane mat dena "
0.3008120929010558-46,Virat Kohli is manufacturing tons for fun. His 4th ton in #IPL2016 Gets there in 47 balls
0.3008120929010558-47,"If Sachin is the God of Cricket, then Virat Kohli is updated version of it!"
0.3008120929010558-48,Yaha Insaan badal jata he Instagram ka icon badalne se kya farak padta he
0.3008120929010558-49,"She: I love ur smile.

He: Really? *Smiles daily*

She: Bahut hanstey ho aj kal? Nayi ladki phasa li? Mil gya sakoon? Dediya mujhe dhoka?Bye"
0.3008120929010558-50,"X : Mera breakup hogya hai,ab kya karoon?

Y : Chal ab internet pe ja ke rona dal de...:p"
0.3008120929010558-51,"Dear girls,

Weight zaroor cum karein,lekin apne nakhron ka.."
0.3008120929010558-52,"Customer care helplines are like:
1 dabao
Phir 2 dabao
Phir 1-1 karke dabao
ab ek saath dabao
Yaar feeling le lo ya issue resolve kardo"
0.3008120929010558-53,"मुझे आज तक समझ नहीं आया कि
लड़की सिर्फ 2 महीने में
""जिसको जानती नहीं उससे शादी कैसे करूं""
से
""Best hubby in da wrld""
तक कैसे पहुँच जाती हैं"
0.3008120929010558-54,@poonamsach agreed
0.3008120929010558-55,"कई लडकिया तो ईसलिए रूठ जाती है, क्योकि धर्मेन्द्र ने कहा है...
.
.
कोई हसीना जब रूठ जाती है तो और भी हसीन हो जाती है!!"
0.3008120929010558-56,you are my favorite notification
0.3008120929010558-57,"Earthquake felt in kolkata
Stay safe stay strong..."
0.3008120929010558-58,"Or kya chalra he ...
Brad Hogg chalra he  #KKRvDD"
