id,text
0.712703462923385-2,"Meizu m3s with 5-inch display, fingerprint sensor, 3 GB Ram, 4G VoLTE launched in India starting at Rs. 7999..."
0.712703462923385-4,"Samsung Galaxy C9 Pro with Snapdragon 653, 6GB RAM, 16MP front and rear cameras official..."
0.712703462923385-5,Google Trips vacation planner launched in India...
0.712703462923385-6,"Google Allo 2.0 for Android gets support for split-screen, quick reply, GIF keyboard and more..."
0.712703462923385-7,"Swipe Elite 2 Plus with 5-inch display, 1GB RAM, 4G LTE launched for Rs. 4444..."
0.712703462923385-8,Twitter to shut down Vine in coming months http://www.techotweet.com/2016/10/twitter-to-shut-down-vine-in-coming.html …
0.712703462923385-9,"Xiaomi Mi Note 2 with 5.7-inch 1080p dual curved OLED display, Snapdragon 821, 4GB RAM announced..."
0.712703462923385-10,"Xiaomi Mi MIX with 6.4-inch bezel-less display, Snapdragon 821, 4GB RAM, ceramic body announced..."
0.712703462923385-11,"BlackBerry DTEK60 with 5.5-inch Quad HD display, Snapdragon 820, 4GB RAM announced for $499..."
0.712703462923385-12,"LG X Power with 5.3-inch display, 4100mAh battery, 4G VoLTE launched in India for Rs. 15990..."
0.712703462923385-13,"LG U with 5.2-inch 1080p display, Android 6.0, 4G LTE announced..."
0.712703462923385-14,"ZTE Axon 7 MAX with 6-inch 1080p 3D display, Snapdragon 625, 4GB RAM, dual 13MP rear cameras announced..."
0.712703462923385-15,"Truecaller now fully compatible with iOS 10, updates spam caller ID and block feature for iPhone..."
0.712703462923385-16,"InFocus Epic 1 with 5.5-inch 1080p display, Deca-Core Helio X20, 16MP camera launched for Rs. 12999..."
0.712703462923385-17,"Videocon Ultra50 with 5-inch display, 3GB RAM, fingerprint sensor, 4G VoLTE launched for Rs. 8990..."
0.712703462923385-18,"Apple TV gets updated: new TV app, Minecraft and more coming later this year..."
0.712703462923385-19,LG G6 will reportedly not have a modular design and Friends modules...
0.712703462923385-20,"Honor 6X with 5.5-inch 1080p display, 4GB RAM, 64GB internal storage dual rear cameras, 4G VoLTE announced..."
0.712703462923385-21,Samsung Galaxy Note7 customers who opt for Galaxy S7 or S7 edge get 50% discount on Galaxy S8 or Note8 in Korea...
0.712703462923385-22,Apple Watch Nike  to be available in India on October 28 starting Rs. 32900...
0.712703462923385-23,Sony MDR-XB50BS and MDR-XB80BS Sports Bluetooth in-ear headphones launched in India starting at Rs. 5490...
0.712703462923385-24,"OPPO R9s Plus with 6-inch 1080p displays, 16MP front and rear cameras announced..."
0.712703462923385-25,Apple releases iOS 10.1 with Portrait camera mode for iPhone 7 Plus and other improvements...
0.712703462923385-26,"Zopo Color F5 with 5-inch display, fingerprint sensor, 4G LTE launched for Rs. 10590..."
0.712703462923385-27,"Samsung Galaxy On Nxt with 5.5-inch 1080p display, 3GB RAM, fingerprint sensor launched for Rs. 18490..."
0.712703462923385-28,"LYF F1 with 5.5-inch 1080p display, 3GB RAM, 16MP camera, 4G VoLTE launched for Rs. 13399..."
0.712703462923385-29,Samsung Galaxy S8 could feature optical fingerprint recognition...
0.712703462923385-30,"Truecaller now fully compatible with iOS 10, updates spam caller ID and block feature for iPhone..."
0.712703462923385-31,Microsoft announces range of VR headsets for Windows 10 starting at $299...
0.712703462923385-32,"Google Allo 2.0 for Android gets support for split-screen, quick reply, GIF keyboard and more..."
0.712703462923385-33,"Samsung Galaxy C9 Pro with Snapdragon 653, 6GB RAM, 16MP front and rear cameras official..."
0.712703462923385-34,"Swipe Elite 2 Plus with 5-inch display, 1GB RAM, 4G LTE launched for Rs. 4444..."
0.712703462923385-35,"Apple TV gets updated: new TV app, Minecraft and more coming later this year..."
0.712703462923385-36,"Gionee P7 Max with 5.5-inch display, 3GB RAM, 4G VoLTE, 3100mAh battery launched for Rs. 13999..."
0.712703462923385-37,"Panasonic Eluga Tapp with 2GB RAM, fingerprint sensor, 4G VoLTE launched for Rs. 8990..."
0.712703462923385-38,Vodafone offers free incoming calls while roaming nationally...
0.712703462923385-39,Facebook claims India has over 155 million monthly active users...
0.712703462923385-40,"Moto G4, G4 Plus Android 7.0 Nougat to roll out in India soon, soak test begins for G4 Plus..."
0.712703462923385-41,"Honor 6X with 5.5-inch 1080p display, 4GB RAM, 64GB internal storage dual rear cameras, 4G VoLTE announced..."
0.712703462923385-42,Samsung Galaxy Note7 customers who opt for Galaxy S7 or S7 edge get 50% discount on Galaxy S8 or Note8 in Korea...
0.712703462923385-43,Apple Watch Nike  to be available in India on October 28 starting Rs. 32900...
0.712703462923385-44,Sony MDR-XB50BS and MDR-XB80BS Sports Bluetooth in-ear headphones launched in India starting at Rs. 5490...
0.712703462923385-45,"OPPO R9s Plus with 6-inch 1080p displays, 16MP front and rear cameras announced..."
0.712703462923385-46,Apple releases iOS 10.1 with Portrait camera mode for iPhone 7 Plus and other improvements...
0.712703462923385-47,"Zopo Color F5 with 5-inch display, fingerprint sensor, 4G LTE launched for Rs. 10590..."
0.712703462923385-48,Facebook showcases live video app with Prisma like filters...
0.712703462923385-49,"Samsung Galaxy On Nxt with 5.5-inch 1080p display, 3GB RAM, fingerprint sensor launched for Rs. 18490..."
